"","ID","CountryYieldCumSum","CountryAreaCumSum","MaxPhi","averagePhi","averageWeightedPhi","MaxDevPerCountry","MaxProdPerCountry","OnePercentDevPerCountry","ProdPerCountryOnePercent","LABEL","MarFishProdMT","MarMolluscProdMT"
"78",151,163334925.441206,0.835668953064118,2.04315453089159,1.88340147358004,1.8845366479092,17244.6040203974,2627283133480.33,172.446040203974,31928671095.8225,"Angola",NA,NA
"79",152,204518063.079218,0.846686725379433,2.17026614182579,2.06657429501519,2.06658912482027,988.436973881396,201961728861.152,9.88436973881396,2249669844.75723,"Tanzania",NA,NA
"80",153,230500265.844157,0.815555234765655,2.26454390621667,2.06269547069256,2.06295299061425,51790.8090158727,10630488426653.4,517.908090158727,141645168596.355,"India",NA,13000
"81",154,211698570.815008,0.796623709268545,2.22756577361742,1.98823716204464,1.98834475359765,15548.4600071583,2813545878714.26,155.484600071583,38579748829.9983,"Bangladesh",NA,NA
"82",155,233654263.27879,0.834558360353537,2.25887548398212,2.11338013435288,2.11370827494711,35551.4432751193,7864752426832.4,355.514432751193,97211068673.9848,"Myanmar",225,NA
"83",156,262902288.067861,0.850911160908268,2.31802361129111,2.08254801047112,2.08253539038171,22986.6366383978,4810757713507.27,229.866366383978,63315485391.8471,"Malaysia",NA,41941
"84",157,243546040.313473,0.840621455372914,2.27941976368,2.04738812546804,2.04771377452923,25429.120203869,5034492344251.76,254.29120203869,66245833191.0173,"Vietnam",5096,179163
"85",159,178325637.358363,0.811171378072278,2.1137239822621,1.88496266849458,1.90436779032293,4863.70750983397,817546993878.077,48.6370750983397,10489432425.0502,"China",1124581,12728618
"86",160,164596997.901448,0.626726259120569,2.22048803702222,1.80403599451711,1.80388433562582,6209.32153541761,870331940382.132,62.0932153541761,14726945102.7296,"Japan",242905,332460
"87",163,142878899.273385,0.732524819836662,2.04191189010033,1.8860961483588,1.88610734261591,2423.83271122616,367110888148.833,24.2383271122617,4689915974.02286,"Egypt",NA,NA
"88",165,263491079.779579,0.854628119580077,2.31675005501296,2.11130534480455,2.11141762035711,169102.774431765,37300292875289.3,1691.02774431765,477385856066.692,"Indonesia",19343,29091
"89",166,178774892.075561,0.609121292845221,2.28719061267778,1.6751969757656,1.67313556457741,42705.5503839606,5098207726421.93,427.055503839606,101481002421.804,"Canada",122024,41759
"90",170,151736084.865773,0.79096575527507,2.03194002198732,1.83252347497686,1.83240553883927,59747.3319730665,8228081791934.81,597.473319730665,99585575526.7725,"Chile",736203,252528
"91",174,217085779.691016,0.843150531880553,2.20857668115196,1.7420760348284,1.77247839325913,3706.8339199948,507825232678.018,37.068339199948,8919055209.66117,"Disputed",NA,NA
"92",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australian Tropical Territories",NA,NA
"93",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australian Southern Ocean Territories",NA,NA
"94",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vanuatu",NA,NA
"95",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solomon Islands",NA,NA
"96",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palau",20,NA
"97",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micronesia",NA,NA
"98",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nauru",NA,NA
"99",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marshall Islands",NA,NA
"100",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taiwan",2674,29008
"101",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuvalu",2,NA
"102",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Comoros",NA,NA
"103",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French Indian Ocean Territories",139,NA
"104",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mauritius",403,3
"105",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"British Indian Ocean Territory",NA,NA
"106",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maldives",NA,NA
"107",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Djibouti",NA,NA
"108",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudan",NA,NA
"109",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cape Verde",NA,NA
"110",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Belgium",NA,NA
"111",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gibraltar",NA,NA
"112",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malta",3939,NA
"113",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latvia",NA,NA
"114",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estonia",NA,NA
"115",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bulgaria",NA,1827
"116",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romania",NA,2
"117",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syria",NA,NA
"118",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lebanon",NA,NA
"119",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Israel",2530,NA
"120",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprus",5265,NA
"121",65,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",670,NA
"122",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Algeria",NA,NA
"123",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French Southern Ocean Territories",NA,NA
"124",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,"British Southern Ocean Territories",NA,NA
"125",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Togo",NA,NA
"126",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benin",NA,NA
"127",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sao Tome and Principe",NA,NA
"128",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ghana",NA,NA
"129",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clipperton Island",NA,NA
"130",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haiti",NA,NA
"131",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA Caribbean Territories",NA,NA
"132",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,"British Caribbean Territories",NA,NA
"133",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saint Kitts and Nevis",NA,NA
"134",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antigua and Barbuda",NA,NA
"135",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saint Lucia",NA,NA
"136",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dominica",NA,NA
"137",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barbados",NA,NA
"138",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grenada",NA,NA
"139",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saint Vincent and the Grenadines",NA,NA
"140",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Netherlands Caribbean Territories",NA,NA
"141",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French Caribbean Territories",14,NA
"142",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iceland",540,166
"143",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,"British Pacific Territories (Pitcairn)",NA,NA
"144",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French Polynesia",8,2610
"145",110,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jarvis Island",NA,NA
"146",111,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA Pacific Inhabited Territories",NA,NA
"147",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Samoa",NA,NA
"148",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tonga",NA,NA
"149",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA Pacific Uninhabited Territories",NA,NA
"150",118,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jamaica",NA,NA
"151",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Finland",NA,NA
"152",126,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denmark",86763,560
"153",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Germany",NA,5116
"154",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Netherlands",20,56800
"155",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poland",NA,NA
"156",136,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monaco",NA,NA
"157",137,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Serbia and Montenegro",100,181
"158",138,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Croatia",6784,2000
"159",139,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Slovenia",50,329
"160",140,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lithuania",NA,NA
"161",143,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iraq",NA,NA
"162",147,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nigeria",NA,NA
"163",148,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cameroon",NA,NA
"164",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Democratic Republic of the Congo",NA,NA
